return_type,msme_id,tax_period,filing_date,due_date,delay_days,total_sales_declared,tax_paid_cash,tax_paid_itc
GSTR-3B,MSME_10017,032026,2026-04-20,2026-04-20,0,933148.57,21950.76,100307.34
GSTR-3B,MSME_10017,042026,2026-04-16,2026-05-20,0,941715.93,38407.46,96955.53
GSTR-3B,MSME_10018,122025,2026-01-17,2026-01-20,0,536797.53,19642.1,74382.34
GSTR-3B,MSME_10018,012026,2026-01-19,2026-02-20,0,1929109.14,41068.87,126130.02
GSTR-3B,MSME_10018,022026,2026-02-18,2026-03-20,0,1856091.18,61353.11,267364.58
GSTR-3B,MSME_10018,032026,2026-03-19,2026-04-20,0,979671.55,30110.53,107422.0
GSTR-3B,MSME_10018,042026,2026-04-18,2026-05-20,0,1114034.11,47133.49,99864.96
GSTR-3B,MSME_10019,042026,2026-05-19,2026-05-20,0,1417595.35,46433.25,121713.03
GSTR-3B,MSME_10020,012026,2026-02-19,2026-02-20,0,1503527.74,65077.55,150720.13
GSTR-3B,MSME_10020,022026,2026-02-16,2026-03-20,0,1158819.93,22315.32,62880.92
GSTR-3B,MSME_10020,032026,2026-03-20,2026-04-20,0,777610.27,22848.05,56133.19
GSTR-3B,MSME_10020,042026,2026-04-16,2026-05-20,0,984057.22,46698.59,89482.74
GSTR-3B,MSME_10021,022026,2026-03-16,2026-03-20,0,899516.0,19047.6,133634.99
GSTR-3B,MSME_10021,032026,2026-03-16,2026-04-20,0,1212389.05,13589.93,81502.86
GSTR-3B,MSME_10021,042026,2026-04-17,2026-05-20,0,961562.64,41302.83,69039.9
GSTR-3B,MSME_10022,032026,2026-04-20,2026-04-20,0,893865.76,41715.64,82370.75
GSTR-3B,MSME_10022,042026,2026-04-20,2026-05-20,0,243759.52,7385.48,25469.87
GSTR-3B,MSME_10023,042026,2026-05-16,2026-05-20,0,1075132.78,35827.84,76146.6
GSTR-3B,MSME_10024,022026,2026-03-17,2026-03-20,0,1043483.53,39469.62,127398.75
GSTR-3B,MSME_10024,032026,2026-03-16,2026-04-20,0,1608780.35,51485.06,230018.03
GSTR-3B,MSME_10024,042026,2026-04-16,2026-05-20,0,276145.98,7980.01,39951.18
GSTR-3B,MSME_10025,022026,2026-03-16,2026-03-20,0,738266.26,8015.08,75821.17
GSTR-3B,MSME_10025,032026,2026-03-15,2026-04-20,0,1256883.2,49079.99,178794.03
GSTR-3B,MSME_10025,042026,2026-04-20,2026-05-20,0,1157443.97,22156.93,122380.72
GSTR-3B,MSME_10026,022026,2026-03-15,2026-03-20,0,650737.1,7259.95,39128.94
GSTR-3B,MSME_10026,032026,2026-03-15,2026-04-20,0,1036241.1,37153.54,56307.49
GSTR-3B,MSME_10026,042026,2026-04-19,2026-05-20,0,293626.69,4930.55,37899.22
GSTR-3B,MSME_10027,032026,2026-04-16,2026-04-20,0,1773044.57,27181.74,173634.52
GSTR-3B,MSME_10027,042026,2026-04-16,2026-05-20,0,1171851.31,46873.09,63748.38
GSTR-3B,MSME_10028,032026,2026-04-19,2026-04-20,0,511389.52,19869.22,26038.62
GSTR-3B,MSME_10028,042026,2026-04-15,2026-05-20,0,413207.43,10578.68,57200.96
GSTR-3B,MSME_10029,012026,2026-02-16,2026-02-20,0,1513194.31,60586.64,152368.49
GSTR-3B,MSME_10029,022026,2026-02-19,2026-03-20,0,441459.65,15410.51,56106.88
GSTR-3B,MSME_10029,032026,2026-03-17,2026-04-20,0,607937.73,17064.27,54412.64
GSTR-3B,MSME_10029,042026,2026-04-19,2026-05-20,0,1585987.75,20808.32,236520.78
GSTR-3B,MSME_10030,122025,2026-01-19,2026-01-20,0,267722.47,10191.35,27597.28
GSTR-3B,MSME_10030,012026,2026-01-20,2026-02-20,0,1250348.8,24015.17,117577.57
GSTR-3B,MSME_10030,022026,2026-02-18,2026-03-20,0,1848650.29,41746.53,154180.95
GSTR-3B,MSME_10030,032026,2026-03-18,2026-04-20,0,710701.84,35465.57,71727.5
GSTR-3B,MSME_10030,042026,2026-04-18,2026-05-20,0,793247.31,34926.41,42804.71
GSTR-3B,MSME_10031,042026,2026-05-19,2026-05-20,0,1234203.99,23334.73,65622.25
GSTR-3B,MSME_10032,122025,2026-01-15,2026-01-20,0,847087.8,11641.22,95829.54
GSTR-3B,MSME_10032,012026,2026-01-17,2026-02-20,0,649983.32,25143.67,78223.86
GSTR-3B,MSME_10032,022026,2026-02-19,2026-03-20,0,1250147.84,35584.8,106132.03
GSTR-3B,MSME_10032,032026,2026-03-18,2026-04-20,0,308365.96,7402.59,38168.39
GSTR-3B,MSME_10032,042026,2026-04-19,2026-05-20,0,1069423.28,48751.36,65275.63
GSTR-3B,MSME_10033,122025,2026-01-18,2026-01-20,0,328293.66,15674.4,37789.87
GSTR-3B,MSME_10033,012026,2026-01-15,2026-02-20,0,1880173.19,57969.04,234937.27
GSTR-3B,MSME_10033,022026,2026-02-20,2026-03-20,0,1979948.32,51112.42,211069.72
GSTR-3B,MSME_10033,032026,2026-03-18,2026-04-20,0,1644943.12,37317.82,139877.11
GSTR-3B,MSME_10033,042026,2026-04-15,2026-05-20,0,1784867.12,42853.5,123410.65
GSTR-3B,MSME_10034,042026,2026-05-18,2026-05-20,0,1882644.08,38198.37,212884.25
GSTR-3B,MSME_10035,012026,2026-02-20,2026-02-20,0,1433995.83,31180.15,104150.16
GSTR-3B,MSME_10035,022026,2026-02-20,2026-03-20,0,238415.26,2714.75,31249.67
GSTR-3B,MSME_10035,032026,2026-03-16,2026-04-20,0,1741841.12,83176.33,241554.85
GSTR-3B,MSME_10035,042026,2026-04-18,2026-05-20,0,517245.09,19247.73,52853.54
GSTR-3B,MSME_10036,012026,2026-02-15,2026-02-20,0,1887738.05,87921.17,116294.42
GSTR-3B,MSME_10036,022026,2026-02-18,2026-03-20,0,789300.17,17893.02,80274.99
GSTR-3B,MSME_10036,032026,2026-03-18,2026-04-20,0,428674.49,16109.55,29107.66
GSTR-3B,MSME_10036,042026,2026-04-16,2026-05-20,0,720416.43,22263.82,48632.42
GSTR-3B,MSME_10037,022026,2026-03-18,2026-03-20,0,1451095.02,43762.77,97521.32
GSTR-3B,MSME_10037,032026,2026-03-23,2026-04-20,0,1441677.79,28434.69,175784.79
GSTR-3B,MSME_10037,042026,2026-04-26,2026-05-20,0,1708824.19,68853.92,141740.28
GSTR-3B,MSME_10038,032026,2026-04-18,2026-04-20,0,114538.85,2025.45,10127.75
GSTR-3B,MSME_10038,042026,2026-04-18,2026-05-20,0,1818065.89,67602.91,176410.88
GSTR-3B,MSME_10039,012026,2026-02-15,2026-02-20,0,379411.03,4638.75,26983.11
GSTR-3B,MSME_10039,022026,2026-02-20,2026-03-20,0,959710.37,35152.12,143253.58
GSTR-3B,MSME_10039,032026,2026-03-15,2026-04-20,0,1442519.25,55744.89,131965.26
GSTR-3B,MSME_10039,042026,2026-04-20,2026-05-20,0,1077083.94,26451.98,53856.26
GSTR-3B,MSME_10040,012026,2026-02-19,2026-02-20,0,918264.11,38261.07,81468.74
GSTR-3B,MSME_10040,022026,2026-02-19,2026-03-20,0,138871.19,4233.86,19244.48
GSTR-3B,MSME_10040,032026,2026-03-19,2026-04-20,0,425552.81,6019.75,38824.04
GSTR-3B,MSME_10040,042026,2026-04-20,2026-05-20,0,1274997.81,14941.9,172060.48
GSTR-3B,MSME_10041,042026,2026-05-16,2026-05-20,0,651925.8,21979.29,38284.51
GSTR-3B,MSME_10042,122025,2026-01-18,2026-01-20,0,1808801.25,65591.05,191733.45
GSTR-3B,MSME_10042,012026,2026-01-17,2026-02-20,0,1781831.12,63359.87,188660.05
GSTR-3B,MSME_10042,022026,2026-02-19,2026-03-20,0,608903.08,9626.08,37437.34
GSTR-3B,MSME_10042,032026,2026-03-16,2026-04-20,0,436584.52,9867.83,27733.07
GSTR-3B,MSME_10042,042026,2026-04-20,2026-05-20,0,1379741.19,29221.29,126538.54
GSTR-3B,MSME_10043,122025,2026-01-17,2026-01-20,0,672499.01,8802.33,59875.95
GSTR-3B,MSME_10043,012026,2026-01-21,2026-02-20,0,1923244.85,57333.73,181058.39
GSTR-3B,MSME_10043,022026,2026-02-25,2026-03-20,0,772685.25,38626.6,57763.66
GSTR-3B,MSME_10043,032026,2026-03-27,2026-04-20,0,1954243.7,67292.0,153464.6
GSTR-3B,MSME_10043,042026,2026-04-30,2026-05-20,0,1403562.47,62724.74,119794.29
GSTR-3B,MSME_10044,022026,2026-03-19,2026-03-20,0,348987.49,5450.71,19084.36
GSTR-3B,MSME_10044,032026,2026-03-16,2026-04-20,0,967466.49,29228.51,71220.45
GSTR-3B,MSME_10044,042026,2026-04-16,2026-05-20,0,1310908.59,22431.39,152244.24
GSTR-3B,MSME_10045,022026,2026-03-15,2026-03-20,0,1709177.72,63363.77,98695.9
GSTR-3B,MSME_10045,032026,2026-03-16,2026-04-20,0,872634.32,20374.01,65750.31
GSTR-3B,MSME_10045,042026,2026-04-19,2026-05-20,0,449790.73,7505.79,64550.39
GSTR-3B,MSME_10046,032026,2026-04-18,2026-04-20,0,842369.27,30758.51,121734.06
GSTR-3B,MSME_10046,042026,2026-04-15,2026-05-20,0,1439107.1,70336.65,187852.6
GSTR-3B,MSME_10047,012026,2026-02-19,2026-02-20,0,1591479.07,79238.45,216462.53
GSTR-3B,MSME_10047,022026,2026-02-19,2026-03-20,0,1454588.43,39665.52,195031.81
GSTR-3B,MSME_10047,032026,2026-03-20,2026-04-20,0,1846737.03,31971.92,259929.08
GSTR-3B,MSME_10047,042026,2026-04-20,2026-05-20,0,608425.76,26334.6,61997.42
GSTR-3B,MSME_10048,022026,2026-03-16,2026-03-20,0,1853471.1,73598.13,273708.94
GSTR-3B,MSME_10048,032026,2026-03-20,2026-04-20,0,1830400.27,47730.33,180424.3
GSTR-3B,MSME_10048,042026,2026-04-17,2026-05-20,0,1923363.51,20141.2,247757.58
GSTR-3B,MSME_10049,012026,2026-02-20,2026-02-20,0,1509311.97,43055.29,222878.37
GSTR-3B,MSME_10049,022026,2026-02-17,2026-03-20,0,1009365.14,46926.67,138862.26
GSTR-3B,MSME_10049,032026,2026-03-17,2026-04-20,0,738770.62,28368.49,56051.08
GSTR-3B,MSME_10049,042026,2026-04-18,2026-05-20,0,1073789.11,50449.92,126627.03
GSTR-3B,MSME_10050,012026,2026-02-18,2026-02-20,0,1862587.35,64532.6,154093.02
GSTR-3B,MSME_10050,022026,2026-02-19,2026-03-20,0,1536000.03,52552.92,224353.17
GSTR-3B,MSME_10050,032026,2026-03-15,2026-04-20,0,1190075.95,14742.86,60788.27
GSTR-3B,MSME_10050,042026,2026-04-18,2026-05-20,0,1728129.02,46525.17,167194.82
GSTR-3B,MSME_10051,032026,2026-04-20,2026-04-20,0,472814.78,21113.02,38037.18
GSTR-3B,MSME_10051,042026,2026-04-16,2026-05-20,0,1467064.0,72445.35,78725.87
GSTR-3B,MSME_10052,012026,2026-02-15,2026-02-20,0,1183375.99,30103.84,153884.22
GSTR-3B,MSME_10052,022026,2026-02-19,2026-03-20,0,1325160.61,42132.4,123305.82
GSTR-3B,MSME_10052,032026,2026-03-17,2026-04-20,0,1663655.14,42045.49,94328.99
GSTR-3B,MSME_10052,042026,2026-04-17,2026-05-20,0,272220.53,11936.12,39311.16
GSTR-3B,MSME_10053,022026,2026-03-18,2026-03-20,0,1407573.65,15129.18,156287.55
GSTR-3B,MSME_10053,032026,2026-03-17,2026-04-20,0,1954296.89,91943.5,109243.87
GSTR-3B,MSME_10053,042026,2026-04-18,2026-05-20,0,1065554.55,12744.47,127432.56
GSTR-3B,MSME_10054,012026,2026-02-17,2026-02-20,0,847014.72,23018.61,42884.78
GSTR-3B,MSME_10054,022026,2026-02-16,2026-03-20,0,935764.34,11535.93,100970.63
GSTR-3B,MSME_10054,032026,2026-03-19,2026-04-20,0,1558201.03,17814.33,189207.57
GSTR-3B,MSME_10054,042026,2026-04-18,2026-05-20,0,762248.46,10059.21,94857.11
GSTR-3B,MSME_10055,012026,2026-02-19,2026-02-20,0,1028666.19,14667.63,88860.8
GSTR-3B,MSME_10055,022026,2026-02-15,2026-03-20,0,1429247.09,31786.78,196549.26
GSTR-3B,MSME_10055,032026,2026-03-19,2026-04-20,0,443991.14,13609.04,62320.94
GSTR-3B,MSME_10055,042026,2026-04-18,2026-05-20,0,456646.51,19585.55,44487.82
GSTR-3B,MSME_10056,122025,2026-01-18,2026-01-20,0,1418989.02,26889.39,100139.65
GSTR-3B,MSME_10056,012026,2026-01-19,2026-02-20,0,690945.36,15396.09,57351.46
GSTR-3B,MSME_10056,022026,2026-02-19,2026-03-20,0,955713.07,29375.66,67506.24
GSTR-3B,MSME_10056,032026,2026-03-20,2026-04-20,0,157542.86,4421.22,11747.21
GSTR-3B,MSME_10056,042026,2026-04-19,2026-05-20,0,189624.3,7180.44,18485.53
GSTR-3B,MSME_10057,032026,2026-04-17,2026-04-20,0,1137319.24,19047.94,137220.78
GSTR-3B,MSME_10057,042026,2026-04-18,2026-05-20,0,264234.55,8665.39,25338.05
GSTR-3B,MSME_10058,022026,2026-03-20,2026-03-20,0,1922173.81,75902.66,197429.61
GSTR-3B,MSME_10058,032026,2026-03-29,2026-04-20,0,409864.77,13105.18,38434.24
GSTR-3B,MSME_10058,042026,2026-04-22,2026-05-20,0,1479497.77,49139.8,220328.96
GSTR-3B,MSME_10059,122025,2026-01-15,2026-01-20,0,495875.09,5839.27,42419.68
GSTR-3B,MSME_10059,012026,2026-01-18,2026-02-20,0,936596.77,23369.58,99881.17
GSTR-3B,MSME_10059,022026,2026-02-15,2026-03-20,0,491668.27,20351.67,63183.6
GSTR-3B,MSME_10059,032026,2026-03-17,2026-04-20,0,896696.13,39535.54,119420.98
GSTR-3B,MSME_10059,042026,2026-04-19,2026-05-20,0,1725608.34,25829.63,212869.0
GSTR-3B,MSME_10060,032026,2026-04-19,2026-04-20,0,593492.64,10140.9,54193.08
GSTR-3B,MSME_10060,042026,2026-04-15,2026-05-20,0,1359191.99,39924.53,72742.92
GSTR-3B,MSME_10061,032026,2026-04-16,2026-04-20,0,551278.03,20783.28,52761.85
GSTR-3B,MSME_10061,042026,2026-04-17,2026-05-20,0,1683207.29,70001.19,131486.62
GSTR-3B,MSME_10062,012026,2026-02-18,2026-02-20,0,417449.57,18909.44,41416.07
GSTR-3B,MSME_10062,022026,2026-02-15,2026-03-20,0,863081.32,39487.84,60063.76
GSTR-3B,MSME_10062,032026,2026-03-17,2026-04-20,0,1519405.65,45406.84,78133.95
GSTR-3B,MSME_10062,042026,2026-04-17,2026-05-20,0,1388398.15,50022.1,196127.62
GSTR-3B,MSME_10063,022026,2026-03-18,2026-03-20,0,1064668.88,27851.96,81416.45
GSTR-3B,MSME_10063,032026,2026-03-15,2026-04-20,0,994989.03,12803.58,118770.98
GSTR-3B,MSME_10063,042026,2026-04-17,2026-05-20,0,1626805.73,72156.12,95629.32
GSTR-3B,MSME_10064,042026,2026-05-18,2026-05-20,0,604854.88,12114.47,41246.77
GSTR-3B,MSME_10065,012026,2026-02-15,2026-02-20,0,1748705.1,56448.95,220571.56
GSTR-3B,MSME_10065,022026,2026-02-17,2026-03-20,0,1310192.83,54243.07,189000.18
GSTR-3B,MSME_10065,032026,2026-03-18,2026-04-20,0,556900.06,18250.73,50637.65
GSTR-3B,MSME_10065,042026,2026-04-18,2026-05-20,0,1213398.19,48631.48,146080.65
GSTR-3B,MSME_10066,012026,2026-02-20,2026-02-20,0,1819532.52,90173.58,148950.42
GSTR-3B,MSME_10066,022026,2026-02-20,2026-03-20,0,844603.92,28403.42,87554.28
GSTR-3B,MSME_10066,032026,2026-03-17,2026-04-20,0,1935750.4,80792.42,280243.49
GSTR-3B,MSME_10066,042026,2026-04-15,2026-05-20,0,537425.08,24170.75,61097.27
GSTR-3B,MSME_10067,022026,2026-03-19,2026-03-20,0,1376463.24,25341.7,78487.38
GSTR-3B,MSME_10067,032026,2026-03-16,2026-04-20,0,1204036.58,20742.98,158805.21
GSTR-3B,MSME_10067,042026,2026-04-17,2026-05-20,0,518656.3,12186.61,31298.35
GSTR-3B,MSME_10068,042026,2026-05-19,2026-05-20,0,1725711.45,56301.54,188971.76
GSTR-3B,MSME_10069,032026,2026-04-18,2026-04-20,0,613696.68,11201.22,57173.88
GSTR-3B,MSME_10069,042026,2026-04-16,2026-05-20,0,215242.09,10698.23,20233.61
GSTR-3B,MSME_10070,122025,2026-01-20,2026-01-20,0,290602.91,5184.21,25842.56
GSTR-3B,MSME_10070,012026,2026-01-18,2026-02-20,0,566878.67,9770.3,42585.09
GSTR-3B,MSME_10070,022026,2026-02-16,2026-03-20,0,294414.11,6997.06,26618.4
GSTR-3B,MSME_10070,032026,2026-03-16,2026-04-20,0,768341.97,20927.98,81800.9
GSTR-3B,MSME_10070,042026,2026-04-19,2026-05-20,0,1126948.98,38638.92,125790.64
GSTR-3B,MSME_10071,022026,2026-03-20,2026-03-20,0,978321.0,19917.31,58574.6
GSTR-3B,MSME_10071,032026,2026-03-29,2026-04-20,0,281673.87,6268.38,18769.87
GSTR-3B,MSME_10071,042026,2026-04-23,2026-05-20,0,324524.63,13578.6,37413.28
GSTR-3B,MSME_10072,122025,2026-01-17,2026-01-20,0,1125140.61,20431.97,152176.4
GSTR-3B,MSME_10072,012026,2026-01-20,2026-02-20,0,1770831.0,74545.6,162885.94
GSTR-3B,MSME_10072,022026,2026-02-18,2026-03-20,0,1960632.28,48056.82,199279.03
GSTR-3B,MSME_10072,032026,2026-03-18,2026-04-20,0,345834.8,16005.79,45288.7
GSTR-3B,MSME_10072,042026,2026-04-17,2026-05-20,0,1988729.99,90540.85,203590.63
GSTR-3B,MSME_10073,022026,2026-03-16,2026-03-20,0,1198326.58,12314.68,152402.45
GSTR-3B,MSME_10073,032026,2026-03-26,2026-04-20,0,921452.63,9440.99,102651.44
GSTR-3B,MSME_10073,042026,2026-04-27,2026-05-20,0,515901.97,9495.87,48367.35
GSTR-3B,MSME_10074,032026,2026-04-18,2026-04-20,0,213318.28,6143.58,22579.79
GSTR-3B,MSME_10074,042026,2026-04-16,2026-05-20,0,281958.57,11757.23,40438.04
GSTR-3B,MSME_10075,042026,2026-05-15,2026-05-20,0,1396832.39,25741.17,208590.23
GSTR-3B,MSME_10076,012026,2026-02-20,2026-02-20,0,1387649.19,35235.32,197825.29
GSTR-3B,MSME_10076,022026,2026-02-15,2026-03-20,0,1152611.52,46229.96,90079.61
GSTR-3B,MSME_10076,032026,2026-03-16,2026-04-20,0,1659322.97,76300.55,103489.17
GSTR-3B,MSME_10076,042026,2026-04-20,2026-05-20,0,692116.91,30504.33,35736.69
GSTR-3B,MSME_10077,032026,2026-04-18,2026-04-20,0,1963797.47,90702.93,263248.68
GSTR-3B,MSME_10077,042026,2026-04-16,2026-05-20,0,1231861.1,15773.04,80548.43
GSTR-3B,MSME_10078,022026,2026-03-16,2026-03-20,0,581609.2,28100.92,35701.21
GSTR-3B,MSME_10078,032026,2026-03-15,2026-04-20,0,260818.87,4667.08,33713.68
GSTR-3B,MSME_10078,042026,2026-04-19,2026-05-20,0,1930661.18,79874.03,189395.7
GSTR-3B,MSME_10079,122025,2026-01-19,2026-01-20,0,1854203.82,62313.61,256340.63
GSTR-3B,MSME_10079,012026,2026-01-19,2026-02-20,0,1585179.99,55659.08,150195.44
GSTR-3B,MSME_10079,022026,2026-02-20,2026-03-20,0,594618.1,16123.06,77639.36
GSTR-3B,MSME_10079,032026,2026-03-19,2026-04-20,0,123490.14,5292.87,14621.49
GSTR-3B,MSME_10079,042026,2026-04-19,2026-05-20,0,700286.1,17712.52,79032.21
GSTR-3B,MSME_10080,042026,2026-05-20,2026-05-20,0,372661.99,8538.91,35725.3
GSTR-3B,MSME_10081,012026,2026-02-19,2026-02-20,0,643027.72,9267.0,75605.12
GSTR-3B,MSME_10081,022026,2026-02-18,2026-03-20,0,1046703.37,51785.96,93493.13
GSTR-3B,MSME_10081,032026,2026-03-19,2026-04-20,0,1581762.98,27143.27,127895.75
GSTR-3B,MSME_10081,042026,2026-04-16,2026-05-20,0,1703773.94,58744.92,152649.28
GSTR-3B,MSME_10082,032026,2026-04-18,2026-04-20,0,747367.77,34869.46,53675.11
GSTR-3B,MSME_10082,042026,2026-04-17,2026-05-20,0,1111807.49,11642.04,131527.23
GSTR-3B,MSME_10083,012026,2026-02-17,2026-02-20,0,432925.38,17832.63,36016.93
GSTR-3B,MSME_10083,022026,2026-02-19,2026-03-20,0,978238.84,27670.25,133178.75
GSTR-3B,MSME_10083,032026,2026-03-17,2026-04-20,0,1146379.36,55300.75,103358.76
GSTR-3B,MSME_10083,042026,2026-04-15,2026-05-20,0,1334990.15,33625.84,69528.6
GSTR-3B,MSME_10084,032026,2026-04-16,2026-04-20,0,276189.66,8998.95,38435.59
GSTR-3B,MSME_10084,042026,2026-04-18,2026-05-20,0,1099865.07,38910.52,83723.18
GSTR-3B,MSME_10085,032026,2026-04-20,2026-04-20,0,1567406.2,33030.73,216108.94
GSTR-3B,MSME_10085,042026,2026-04-15,2026-05-20,0,757280.19,21417.85,40129.91
GSTR-3B,MSME_10086,022026,2026-03-16,2026-03-20,0,1017559.17,50392.94,52804.16
GSTR-3B,MSME_10086,032026,2026-03-20,2026-04-20,0,1059882.38,11552.11,74015.16
GSTR-3B,MSME_10086,042026,2026-04-17,2026-05-20,0,378792.02,14621.53,52396.34
GSTR-3B,MSME_10087,032026,2026-04-16,2026-04-20,0,104580.74,3006.18,10283.86
GSTR-3B,MSME_10087,042026,2026-04-16,2026-05-20,0,1063230.38,47592.12,98753.21
GSTR-3B,MSME_10088,012026,2026-02-17,2026-02-20,0,837864.75,39714.98,113098.44
GSTR-3B,MSME_10088,022026,2026-02-18,2026-03-20,0,920813.58,20061.11,62345.4
GSTR-3B,MSME_10088,032026,2026-03-20,2026-04-20,0,141570.2,2033.83,8733.24
GSTR-3B,MSME_10088,042026,2026-04-19,2026-05-20,0,1102561.54,43589.34,103493.51
GSTR-3B,MSME_10089,042026,2026-05-20,2026-05-20,0,192556.8,3145.99,24108.71
GSTR-3B,MSME_10090,012026,2026-02-19,2026-02-20,0,1938801.25,90598.86,236400.65
GSTR-3B,MSME_10090,022026,2026-02-24,2026-03-20,0,1350790.77,29876.27,158242.64
GSTR-3B,MSME_10090,032026,2026-03-22,2026-04-20,0,1364130.97,32835.34,120599.55
GSTR-3B,MSME_10090,042026,2026-04-29,2026-05-20,0,584035.49,18605.16,37926.34
GSTR-3B,MSME_10091,122025,2026-01-17,2026-01-20,0,1017944.05,29500.09,148228.84
GSTR-3B,MSME_10091,012026,2026-01-18,2026-02-20,0,1997598.47,56746.74,183059.71
GSTR-3B,MSME_10091,022026,2026-02-17,2026-03-20,0,567738.69,15344.56,38739.37
GSTR-3B,MSME_10091,032026,2026-03-18,2026-04-20,0,1690494.31,19989.78,249040.44
GSTR-3B,MSME_10091,042026,2026-04-18,2026-05-20,0,1293416.4,51108.16,111529.5
GSTR-3B,MSME_10092,022026,2026-03-15,2026-03-20,0,814052.5,33216.06,77847.23
GSTR-3B,MSME_10092,032026,2026-03-30,2026-04-20,0,1108419.24,21734.82,61626.84
GSTR-3B,MSME_10092,042026,2026-04-24,2026-05-20,0,414608.55,18292.19,61258.81
GSTR-3B,MSME_10093,122025,2026-01-16,2026-01-20,0,312661.09,11614.34,43184.66
GSTR-3B,MSME_10093,012026,2026-01-18,2026-02-20,0,710119.91,33260.17,71916.82
GSTR-3B,MSME_10093,022026,2026-02-18,2026-03-20,0,1797770.55,70264.02,215163.67
