msme_id,state,industry_sector,vintage_years,loan_product,sanctioned_amount_inr,outstanding_principal_inr,monthly_upi_volume_inr,avg_gst_delay_days,legacy_cibil_score,ai_blended_score,risk_band,days_past_due_dpd,accommodation_fraud_flag
MSME_10056,Tamil Nadu,Agriculture Tech,5.6,Supply Chain Finance,9200000,1543042.53,3000000,0,832,857,Low Risk,0,False
MSME_10057,Delhi,Logistics,4.6,Working Capital Demand Loan,4100000,1133879.47,100000,0,779,779,Low Risk,0,False
MSME_10058,Tamil Nadu,Retail/FMCG,24.6,Term Loan,7000000,3289040.07,2600000,0,762,809,Low Risk,0,False
MSME_10059,Delhi,Agriculture Tech,1.7,Working Capital Demand Loan,5800000,1072426.23,2800000,0,622,622,High Risk,30,False
MSME_10060,Gujarat,Manufacturing,14.0,Supply Chain Finance,2500000,1583604.22,1500000,0,823,823,Low Risk,30,False
MSME_10061,Maharashtra,IT/Services,14.7,Working Capital Demand Loan,2800000,334144.42,3900000,15,691,714,Medium Risk,0,False
MSME_10062,Gujarat,Agriculture Tech,22.1,Supply Chain Finance,2300000,1232728.12,4500000,5,691,688,Medium Risk,0,False
MSME_10063,Delhi,IT/Services,15.3,Supply Chain Finance,7400000,4170382.5,3000000,0,681,681,Medium Risk,30,False
MSME_10064,Delhi,Logistics,21.9,Supply Chain Finance,5500000,4680362.41,200000,5,721,696,Medium Risk,0,False
MSME_10065,Delhi,Manufacturing,14.3,Overdraft,3400000,1123738.74,4700000,0,707,739,Medium Risk,0,False
MSME_10066,Delhi,Agriculture Tech,9.5,Overdraft,3600000,769915.48,1400000,60,588,554,High Risk,0,False
MSME_10067,Maharashtra,Agriculture Tech,8.6,Working Capital Demand Loan,1700000,513215.8,1200000,5,759,734,Medium Risk,30,False
MSME_10068,Maharashtra,Manufacturing,24.6,Supply Chain Finance,1300000,615995.38,3000000,30,572,591,High Risk,0,False
MSME_10069,Delhi,Retail/FMCG,4.4,Overdraft,9000000,2122305.2,3000000,0,705,754,Low Risk,0,False
MSME_10070,Delhi,Manufacturing,16.9,Overdraft,7400000,1776539.81,3400000,0,773,795,Low Risk,0,False
MSME_10071,Delhi,IT/Services,3.3,Supply Chain Finance,7600000,4683904.94,1900000,0,680,680,Medium Risk,0,False
MSME_10072,Karnataka,Logistics,9.1,Term Loan,9400000,5877665.12,4000000,5,709,711,Medium Risk,0,False
MSME_10073,Tamil Nadu,Retail/FMCG,17.8,Supply Chain Finance,9300000,8694094.41,2200000,0,758,806,Low Risk,0,False
MSME_10074,Maharashtra,Agriculture Tech,15.0,Term Loan,2100000,1087020.49,1100000,15,738,727,Medium Risk,0,False
MSME_10075,Gujarat,IT/Services,6.2,Supply Chain Finance,8600000,6447437.19,4300000,15,793,789,Low Risk,0,False
MSME_10076,Delhi,Agriculture Tech,1.8,Working Capital Demand Loan,7200000,6284160.18,4800000,5,556,516,Critical Risk,30,False
MSME_10077,Maharashtra,Retail/FMCG,12.2,Term Loan,5800000,2232658.78,4200000,5,708,728,Medium Risk,0,False
MSME_10078,Delhi,Manufacturing,23.6,Overdraft,9400000,4972581.0,3200000,0,819,851,Low Risk,0,False
MSME_10079,Tamil Nadu,Agriculture Tech,16.1,Term Loan,8300000,6857995.48,5000000,0,742,791,Low Risk,0,False
MSME_10080,Gujarat,Retail/FMCG,7.4,Overdraft,5500000,926868.98,1200000,0,787,787,Low Risk,0,False
MSME_10081,Gujarat,Manufacturing,24.7,Working Capital Demand Loan,5800000,1426685.19,3400000,5,713,718,Medium Risk,0,False
MSME_10082,Gujarat,Agriculture Tech,2.1,Term Loan,7900000,6298550.95,1000000,0,588,588,High Risk,0,False
MSME_10083,Tamil Nadu,Manufacturing,11.7,Overdraft,7300000,1200330.68,1300000,0,753,753,Low Risk,0,False
MSME_10084,Maharashtra,IT/Services,11.0,Supply Chain Finance,8800000,7732470.99,1600000,5,756,732,Medium Risk,0,False
MSME_10085,Delhi,Manufacturing,8.8,Supply Chain Finance,3200000,1647301.74,4800000,0,842,867,Low Risk,0,False
MSME_10086,Maharashtra,Logistics,21.2,Overdraft,8700000,2692233.2,500000,15,697,684,Medium Risk,0,False
MSME_10087,Maharashtra,IT/Services,6.1,Term Loan,3800000,1921479.47,600000,0,823,823,Low Risk,0,False
MSME_10088,Karnataka,IT/Services,23.5,Working Capital Demand Loan,7300000,955085.42,2500000,0,757,804,Low Risk,0,False
MSME_10089,Tamil Nadu,Manufacturing,1.3,Supply Chain Finance,7000000,6543001.49,2800000,0,668,695,Medium Risk,0,False
MSME_10090,Karnataka,IT/Services,7.0,Working Capital Demand Loan,7300000,4282455.03,1800000,0,822,822,Low Risk,0,False
MSME_10091,Maharashtra,IT/Services,4.4,Working Capital Demand Loan,7500000,1219246.27,2900000,5,688,701,Medium Risk,0,False
MSME_10092,Gujarat,IT/Services,22.0,Supply Chain Finance,5100000,2947482.52,3000000,0,822,852,Low Risk,0,False
MSME_10093,Karnataka,Retail/FMCG,7.5,Overdraft,4900000,1685193.3,1900000,0,800,800,Low Risk,0,False
MSME_10094,Tamil Nadu,Logistics,5.9,Overdraft,600000,374786.16,1300000,0,751,751,Low Risk,0,False
MSME_10095,Karnataka,Logistics,5.3,Supply Chain Finance,2200000,395991.08,4100000,0,729,752,Low Risk,0,False
MSME_10096,Tamil Nadu,Agriculture Tech,3.5,Term Loan,7800000,4057875.88,1200000,5,709,679,Medium Risk,0,False
MSME_10097,Karnataka,Retail/FMCG,7.4,Overdraft,5000000,3524106.5,2100000,0,712,761,Low Risk,0,False
MSME_10098,Delhi,Manufacturing,18.5,Overdraft,7500000,1057046.65,2400000,0,696,719,Medium Risk,0,False
MSME_10099,Gujarat,Agriculture Tech,2.8,Term Loan,7600000,5281611.51,300000,0,630,630,High Risk,0,False
MSME_10100,Karnataka,IT/Services,20.0,Term Loan,3000000,2265533.49,2300000,0,721,752,Low Risk,0,False
MSME_10101,Gujarat,Logistics,14.0,Overdraft,6300000,2412039.45,3300000,0,746,766,Low Risk,0,False
MSME_10102,Delhi,Agriculture Tech,14.6,Overdraft,5600000,2742752.64,3400000,0,758,808,Low Risk,0,False
MSME_10103,Delhi,Agriculture Tech,16.8,Term Loan,4600000,1726714.32,2800000,0,736,736,Medium Risk,30,False
MSME_10104,Gujarat,Agriculture Tech,11.0,Supply Chain Finance,1600000,260440.44,3600000,0,745,793,Low Risk,0,False
MSME_10105,Maharashtra,IT/Services,5.3,Supply Chain Finance,4300000,3168451.72,1400000,0,777,777,Low Risk,30,False
MSME_10106,Gujarat,Agriculture Tech,14.5,Supply Chain Finance,3700000,2871732.65,1300000,0,839,839,Low Risk,0,False
MSME_10107,Tamil Nadu,IT/Services,17.2,Term Loan,6800000,5436269.28,3100000,0,761,761,Low Risk,60,False
MSME_10108,Tamil Nadu,IT/Services,22.4,Supply Chain Finance,9400000,4482394.59,2700000,0,844,883,Low Risk,0,False
MSME_10109,Tamil Nadu,Logistics,15.7,Working Capital Demand Loan,900000,301632.02,3300000,0,683,722,Medium Risk,0,False
MSME_10110,Karnataka,Retail/FMCG,23.4,Term Loan,2200000,691035.93,3600000,0,762,782,Low Risk,0,False
MSME_10111,Delhi,Agriculture Tech,9.9,Term Loan,4900000,1734258.62,3700000,0,810,844,Low Risk,0,False
MSME_10112,Tamil Nadu,Retail/FMCG,21.2,Term Loan,4900000,4331077.1,1800000,0,686,686,Medium Risk,60,False
MSME_10113,Gujarat,Manufacturing,5.2,Overdraft,5600000,3418777.8,4400000,0,726,776,Low Risk,0,False
MSME_10114,Karnataka,IT/Services,8.2,Working Capital Demand Loan,8800000,6109334.38,1800000,5,777,745,Medium Risk,0,False
MSME_10115,Karnataka,IT/Services,1.8,Term Loan,6300000,4745540.64,1100000,30,559,531,Critical Risk,0,False
MSME_10116,Tamil Nadu,Agriculture Tech,2.6,Overdraft,3100000,1986312.22,3800000,0,622,622,High Risk,60,False
MSME_10117,Karnataka,Agriculture Tech,22.9,Term Loan,6100000,5163180.74,700000,0,689,689,Medium Risk,90,False
MSME_10118,Delhi,Manufacturing,18.3,Overdraft,2700000,2056114.64,2200000,0,773,822,Low Risk,0,False
MSME_10119,Gujarat,Agriculture Tech,10.9,Working Capital Demand Loan,4400000,1941694.74,4100000,0,691,716,Medium Risk,0,False
MSME_10120,Delhi,Agriculture Tech,24.9,Overdraft,6500000,3026424.63,3200000,5,715,734,Medium Risk,0,False
MSME_10121,Karnataka,Manufacturing,20.4,Supply Chain Finance,8000000,1863904.52,5000000,0,731,766,Low Risk,0,False
MSME_10122,Delhi,Agriculture Tech,1.4,Term Loan,3500000,969625.39,2600000,0,586,586,High Risk,60,False
MSME_10123,Maharashtra,Agriculture Tech,11.2,Overdraft,4500000,2966274.35,2500000,5,775,752,Low Risk,30,False
MSME_10124,Karnataka,Manufacturing,4.3,Overdraft,7300000,1560538.87,4400000,0,697,739,Medium Risk,0,False
MSME_10125,Tamil Nadu,IT/Services,24.7,Working Capital Demand Loan,2700000,2161373.97,2700000,0,805,839,Low Risk,0,False
MSME_10126,Delhi,Agriculture Tech,14.6,Working Capital Demand Loan,2700000,735787.81,1400000,0,763,763,Low Risk,0,False
MSME_10127,Gujarat,Logistics,19.6,Working Capital Demand Loan,7800000,7304766.27,3200000,0,712,749,Medium Risk,0,False
MSME_10128,Gujarat,Retail/FMCG,6.9,Term Loan,9800000,5452573.38,100000,0,835,835,Low Risk,0,False
MSME_10129,Tamil Nadu,IT/Services,14.7,Supply Chain Finance,2200000,2069306.71,1300000,5,826,802,Low Risk,0,False
MSME_10130,Karnataka,Logistics,19.9,Supply Chain Finance,5800000,2006896.75,1700000,0,764,764,Low Risk,0,False
MSME_10131,Maharashtra,Agriculture Tech,11.0,Working Capital Demand Loan,1900000,299655.56,2800000,0,798,835,Low Risk,0,False
MSME_10132,Gujarat,Manufacturing,21.5,Overdraft,1400000,261916.52,1500000,0,804,804,Low Risk,30,False
MSME_10133,Maharashtra,Agriculture Tech,9.2,Supply Chain Finance,8200000,4495400.71,400000,5,733,714,Medium Risk,0,False
MSME_10134,Karnataka,Manufacturing,21.1,Term Loan,5400000,2089759.83,5000000,5,699,695,Medium Risk,0,False
MSME_10135,Maharashtra,Logistics,12.0,Supply Chain Finance,6500000,5171500.13,3400000,0,829,875,Low Risk,0,False
MSME_10136,Maharashtra,Agriculture Tech,9.0,Supply Chain Finance,6600000,1858110.61,2700000,5,703,686,Medium Risk,0,False
MSME_10137,Delhi,Agriculture Tech,16.4,Overdraft,1100000,504519.28,2500000,0,729,764,Low Risk,0,False
MSME_10138,Karnataka,Manufacturing,12.7,Working Capital Demand Loan,4100000,2580634.19,1500000,0,850,850,Low Risk,0,False
MSME_10139,Karnataka,IT/Services,12.9,Working Capital Demand Loan,9400000,8916392.82,4100000,5,716,730,Medium Risk,0,False
MSME_10140,Tamil Nadu,Logistics,9.2,Supply Chain Finance,2500000,2298552.61,4600000,0,708,738,Medium Risk,0,False
MSME_10141,Gujarat,IT/Services,22.0,Supply Chain Finance,1200000,988676.79,700000,5,765,750,Low Risk,0,False
MSME_10142,Delhi,Retail/FMCG,6.3,Working Capital Demand Loan,2300000,1346201.52,4500000,0,711,759,Low Risk,0,False
MSME_10143,Karnataka,Agriculture Tech,17.6,Supply Chain Finance,5800000,2231074.41,3200000,0,726,771,Low Risk,0,False
MSME_10144,Delhi,Manufacturing,12.2,Term Loan,1500000,152255.66,4100000,0,708,749,Medium Risk,0,False
MSME_10145,Delhi,Logistics,17.0,Term Loan,4600000,3495587.95,2200000,0,768,793,Low Risk,0,False
MSME_10146,Karnataka,Logistics,5.2,Supply Chain Finance,3700000,3382731.03,2500000,15,823,852,Low Risk,0,False
MSME_10147,Karnataka,Retail/FMCG,12.2,Term Loan,9800000,5038736.03,3100000,0,808,808,Low Risk,90,False
MSME_10148,Karnataka,Agriculture Tech,4.9,Overdraft,6700000,6162423.34,1300000,15,836,806,Low Risk,0,False
MSME_10149,Delhi,Agriculture Tech,23.8,Term Loan,9600000,2600348.3,300000,0,798,798,Low Risk,0,False
MSME_10150,Tamil Nadu,Manufacturing,5.0,Overdraft,1900000,193848.61,700000,0,719,719,Medium Risk,0,False
MSME_10151,Tamil Nadu,Agriculture Tech,11.1,Overdraft,7800000,5301298.36,3000000,0,768,789,Low Risk,0,False
MSME_10152,Gujarat,Manufacturing,4.2,Term Loan,5400000,4571756.8,4100000,5,841,836,Low Risk,0,False
MSME_10153,Delhi,Agriculture Tech,23.9,Supply Chain Finance,2200000,1222928.23,2200000,0,836,857,Low Risk,0,False
MSME_10154,Delhi,Manufacturing,3.0,Term Loan,5500000,2822440.46,1600000,0,792,792,Low Risk,0,False
MSME_10155,Tamil Nadu,Logistics,23.8,Supply Chain Finance,3300000,2849821.26,3300000,0,742,776,Low Risk,0,False
MSME_10156,Karnataka,Logistics,10.3,Term Loan,3800000,570446.95,4600000,0,683,711,Medium Risk,0,False
MSME_10157,Maharashtra,Manufacturing,8.8,Overdraft,6300000,2561140.52,3400000,0,815,837,Low Risk,0,False
MSME_10158,Maharashtra,Manufacturing,9.1,Working Capital Demand Loan,7300000,6851060.31,4300000,15,834,847,Low Risk,0,False
MSME_10159,Tamil Nadu,IT/Services,13.3,Supply Chain Finance,2400000,490453.8,5000000,5,722,722,Medium Risk,0,False
MSME_10160,Gujarat,Logistics,16.8,Supply Chain Finance,5600000,2061684.67,4600000,0,769,800,Low Risk,0,False
MSME_10161,Gujarat,Logistics,17.2,Term Loan,700000,397099.0,2200000,0,801,839,Low Risk,0,False
MSME_10162,Tamil Nadu,Manufacturing,5.5,Term Loan,5300000,3821545.74,3700000,0,843,887,Low Risk,0,False
MSME_10163,Gujarat,Retail/FMCG,8.7,Term Loan,3800000,2802411.27,2000000,30,641,627,High Risk,60,False
MSME_10164,Delhi,Logistics,8.3,Supply Chain Finance,4700000,1352461.7,4600000,30,679,644,High Risk,30,False
MSME_10165,Delhi,Agriculture Tech,15.6,Overdraft,2800000,1580754.67,200000,0,813,813,Low Risk,0,False
MSME_10166,Karnataka,Agriculture Tech,6.8,Term Loan,10000000,8802734.1,2300000,0,701,701,Medium Risk,30,False
MSME_10167,Gujarat,IT/Services,5.3,Term Loan,6300000,3436393.55,4000000,5,747,761,Low Risk,0,False
MSME_10168,Tamil Nadu,Agriculture Tech,11.1,Term Loan,2800000,2335383.27,1700000,30,679,648,High Risk,30,False
MSME_10169,Gujarat,Agriculture Tech,10.8,Supply Chain Finance,2400000,1846651.49,600000,0,839,839,Low Risk,0,False
MSME_10170,Delhi,Retail/FMCG,16.7,Overdraft,2100000,1811391.78,4100000,5,740,700,Medium Risk,30,False
MSME_10171,Tamil Nadu,Manufacturing,5.5,Working Capital Demand Loan,4800000,3935213.21,500000,0,841,841,Low Risk,0,False
MSME_10172,Maharashtra,Manufacturing,24.0,Working Capital Demand Loan,5700000,2266765.9,1000000,0,800,800,Low Risk,60,False
MSME_10173,Karnataka,Logistics,23.4,Overdraft,8600000,4976895.22,200000,15,724,694,Medium Risk,0,False
MSME_10174,Gujarat,Logistics,15.1,Term Loan,4500000,2161012.87,3900000,15,809,830,Low Risk,0,False
MSME_10175,Gujarat,IT/Services,18.8,Term Loan,8700000,5339472.25,3900000,15,680,672,Medium Risk,0,False
MSME_10176,Gujarat,Logistics,18.6,Supply Chain Finance,4900000,4464495.64,5000000,0,759,809,Low Risk,0,False
MSME_10177,Delhi,Logistics,8.3,Working Capital Demand Loan,6600000,2742908.94,300000,5,841,802,Low Risk,0,False
MSME_10178,Tamil Nadu,Logistics,20.5,Term Loan,8800000,7587443.58,1800000,0,709,709,Medium Risk,0,False
MSME_10179,Karnataka,Retail/FMCG,15.0,Term Loan,2800000,1686974.04,4800000,15,745,763,Low Risk,0,False
MSME_10180,Delhi,IT/Services,3.1,Working Capital Demand Loan,1200000,238041.81,600000,15,758,369,Critical Risk,90,True
MSME_10181,Maharashtra,Logistics,16.8,Term Loan,8500000,4807556.89,400000,0,701,701,Medium Risk,0,False
MSME_10182,Maharashtra,Retail/FMCG,23.2,Supply Chain Finance,9300000,6023787.03,3500000,0,761,800,Low Risk,0,False
MSME_10183,Karnataka,IT/Services,10.9,Working Capital Demand Loan,5700000,2127825.2,1200000,0,758,758,Low Risk,30,False
MSME_10184,Maharashtra,Agriculture Tech,4.9,Term Loan,1200000,1062939.23,500000,0,813,813,Low Risk,0,False
MSME_10185,Tamil Nadu,Manufacturing,20.3,Overdraft,4600000,4192668.26,4200000,0,786,808,Low Risk,0,False
MSME_10186,Gujarat,Agriculture Tech,8.1,Term Loan,800000,635916.74,3300000,5,843,845,Low Risk,0,False
MSME_10187,Karnataka,Retail/FMCG,1.3,Supply Chain Finance,7200000,4644314.65,2300000,15,629,643,High Risk,0,False
MSME_10188,Tamil Nadu,Manufacturing,18.8,Overdraft,6500000,3996520.09,3100000,0,745,745,Medium Risk,60,False
MSME_10189,Maharashtra,Logistics,8.5,Supply Chain Finance,6700000,3796382.65,2900000,0,823,851,Low Risk,0,False
MSME_10190,Karnataka,Manufacturing,13.9,Supply Chain Finance,2300000,595396.51,4900000,0,702,730,Medium Risk,0,False
MSME_10191,Maharashtra,IT/Services,20.9,Overdraft,4500000,998265.94,2400000,0,735,785,Low Risk,0,False
MSME_10192,Gujarat,Manufacturing,22.3,Working Capital Demand Loan,9100000,1457077.95,300000,0,796,796,Low Risk,30,False
MSME_10193,Tamil Nadu,IT/Services,1.5,Working Capital Demand Loan,8000000,5268758.34,3600000,0,576,602,High Risk,0,False
MSME_10194,Delhi,IT/Services,1.4,Working Capital Demand Loan,8100000,5869401.15,4700000,5,676,698,Medium Risk,0,False
MSME_10195,Delhi,Manufacturing,14.4,Overdraft,4600000,3070346.42,4100000,60,610,590,High Risk,60,False
MSME_10196,Karnataka,IT/Services,15.9,Supply Chain Finance,1600000,496189.68,3800000,5,696,708,Medium Risk,0,False
MSME_10197,Tamil Nadu,Retail/FMCG,14.5,Working Capital Demand Loan,2100000,1908122.48,1700000,0,781,781,Low Risk,0,False
MSME_10198,Gujarat,Logistics,14.6,Term Loan,10000000,6896978.2,4300000,0,827,860,Low Risk,0,False
MSME_10199,Delhi,IT/Services,2.7,Working Capital Demand Loan,4000000,644581.66,700000,0,585,585,High Risk,30,False
MSME_10200,Maharashtra,IT/Services,21.6,Working Capital Demand Loan,8100000,7417943.38,1700000,0,707,707,Medium Risk,0,False
MSME_10201,Maharashtra,Logistics,24.1,Working Capital Demand Loan,4700000,4099169.08,1600000,0,718,718,Medium Risk,0,False
MSME_10202,Tamil Nadu,Retail/FMCG,22.5,Working Capital Demand Loan,3000000,1515182.09,3500000,0,790,814,Low Risk,0,False
MSME_10203,Maharashtra,Logistics,4.0,Term Loan,2700000,1633856.12,1700000,0,735,735,Medium Risk,0,False
MSME_10204,Karnataka,Manufacturing,1.3,Working Capital Demand Loan,4400000,967460.7,4300000,0,664,664,Medium Risk,60,False
MSME_10205,Maharashtra,Manufacturing,17.2,Working Capital Demand Loan,7300000,3018166.08,2300000,0,815,815,Low Risk,30,False
MSME_10206,Karnataka,Manufacturing,20.5,Supply Chain Finance,6500000,1617447.56,1000000,15,727,687,Medium Risk,0,False
MSME_10207,Delhi,Retail/FMCG,3.5,Overdraft,3000000,1859586.57,1100000,0,782,782,Low Risk,30,False
MSME_10208,Gujarat,IT/Services,12.1,Supply Chain Finance,9300000,4334547.59,3500000,0,826,865,Low Risk,0,False
MSME_10209,Tamil Nadu,Manufacturing,1.1,Supply Chain Finance,1100000,925124.96,900000,0,649,649,High Risk,30,False
MSME_10210,Maharashtra,Manufacturing,2.3,Overdraft,2700000,1505163.72,4200000,0,565,598,High Risk,0,False
MSME_10211,Gujarat,Manufacturing,20.9,Term Loan,4100000,1914572.06,2000000,5,782,759,Low Risk,30,False
MSME_10212,Gujarat,IT/Services,15.2,Overdraft,10000000,8462627.18,1200000,0,688,688,Medium Risk,0,False
MSME_10213,Tamil Nadu,Retail/FMCG,24.9,Working Capital Demand Loan,2500000,1720730.81,3800000,5,740,724,Medium Risk,0,False
MSME_10214,Delhi,Logistics,23.4,Working Capital Demand Loan,5400000,1445806.07,2300000,0,708,758,Low Risk,0,False
MSME_10215,Maharashtra,IT/Services,9.4,Supply Chain Finance,6500000,5265981.72,2500000,0,849,891,Low Risk,0,False
MSME_10216,Maharashtra,Retail/FMCG,23.4,Supply Chain Finance,4700000,2284990.41,3500000,0,755,793,Low Risk,0,False
MSME_10217,Maharashtra,Retail/FMCG,6.1,Working Capital Demand Loan,3100000,2320837.76,400000,0,834,834,Low Risk,0,False
