entity_id,name,gstin,industry_code,vintage_months,bureau_score_cibil,credit_limit_requested
MSME_10026,Green Enterprises,21XSLNK4410U2ZD,NIC_1079,44,597,1303567
MSME_10027,Green Enterprises,16GOCXN2798E1Z4,NIC_1311,39,793,541283
MSME_10028,Sai Packaging,29CZZFL4399S5ZF,NIC_4100,59,749,1630071
MSME_10029,Prime Industries,25HKGOP4572K6Z8,NIC_1311,35,595,442054
MSME_10030,Urban Industries,29ZXZIF3349O8Z0,NIC_4690,15,-1,2089106
MSME_10031,Prime Retail,27QFFQH6531S8ZU,NIC_1079,43,-1,2887239
MSME_10032,Shree Foods,15UBWOC4083U1ZL,NIC_5229,59,700,2286479
MSME_10033,Sai Packaging,28BJEYH8679U5ZV,NIC_1079,54,-1,747806
MSME_10034,Sai Textiles,11DPVGW1926R6ZN,NIC_1311,27,577,2874445
MSME_10035,Urban Industries,21XDSYL4094X7Z8,NIC_1702,49,-1,1026499
MSME_10036,Om Enterprises,24NAUER8145P3ZY,NIC_1311,32,789,2496135
MSME_10037,Green Logistics,29EVZAI3916T5ZA,NIC_2220,5,-1,2263990
MSME_10038,Skyline Industries,36EVNDT7829N8ZW,NIC_4711,52,-1,1175171
MSME_10039,Global Logistics,14BDQET5261V6ZU,NIC_4711,47,-1,294120
MSME_10040,Prime Retail,26LYPUJ5827D5Z4,NIC_4711,46,-1,2486152
MSME_10041,Shree Industries,16ZTBHC7630Q5ZN,NIC_5229,29,-1,1254268
MSME_10042,Rapid Textiles,13LWTFS6823F2ZQ,NIC_4711,21,-1,2552693
MSME_10043,Skyline Retail,31ZVVGK0322I1ZI,NIC_5229,30,705,2039355
MSME_10044,Lakshmi Textiles,23GIAJZ3583H4ZS,NIC_2220,4,583,2148909
MSME_10045,Lakshmi Enterprises,16TISVF1965B7ZQ,NIC_4100,36,-1,2313023
MSME_10046,Urban Enterprises,27SIRYH6989Z2Z4,NIC_1702,23,-1,1217524
MSME_10047,Urban Industries,12YSJTJ1754M1ZF,NIC_4690,57,742,729174
MSME_10048,Lakshmi Foods,35RLZHF5687V1Z3,NIC_1311,15,596,1137932
MSME_10049,Om Enterprises,16ISSGW7444M5ZJ,NIC_5229,30,-1,1262140
MSME_10050,Rapid Logistics,18ESOXM2193N6Z3,NIC_1079,35,-1,818169
MSME_10051,Global Industries,20PRAKA3768G3ZG,NIC_5229,46,-1,139623
MSME_10052,Skyline Enterprises,18VEEAM5709Q6ZH,NIC_4100,38,-1,441480
MSME_10053,Urban Retail,13XQXJG7632N1ZM,NIC_1311,50,553,834265
MSME_10054,Rapid Retail,35ADABU6007L3ZA,NIC_2220,34,623,2197151
MSME_10055,Prime Retail,16KQEWP3196A2ZU,NIC_5229,49,679,2948633
MSME_10056,Lakshmi Textiles,20HEJBT0555U3Z7,NIC_1311,41,-1,1485193
MSME_10057,Shree Logistics,31MSKTC3169I3ZN,NIC_1079,53,591,608782
MSME_10058,Prime Textiles,10MRHJP9161L8ZE,NIC_1702,8,-1,862536
MSME_10059,Prime Logistics,29CRMSF3406K7ZQ,NIC_4690,36,-1,2463244
MSME_10060,Green Traders,31LBSMK0917M8ZB,NIC_2220,5,-1,1424618
MSME_10061,Urban Enterprises,24TBLSA9966M7Z7,NIC_1079,7,-1,1691111
MSME_10062,Om Logistics,25MUJPX4510L1ZZ,NIC_1311,21,-1,710063
MSME_10063,Global Packaging,14MWSEM3223N7ZS,NIC_4100,19,658,1953819
MSME_10064,Sai Packaging,28SFNLK4981M7Z3,NIC_1702,26,617,1709886
MSME_10065,Skyline Retail,36KOMXN1130Z2ZE,NIC_1079,53,-1,280334
MSME_10066,Green Enterprises,15FQCJL3494Q5ZS,NIC_4711,38,585,1059540
MSME_10067,Rapid Industries,16XWNUW4190O6ZC,NIC_2220,39,734,2591244
MSME_10068,Green Traders,34BZNJT3925Y1Z6,NIC_2220,45,711,1301748
MSME_10069,Sai Packaging,10JTSYI6621S8ZF,NIC_1079,8,569,2115776
MSME_10070,Green Logistics,36YEZEJ1810D4ZS,NIC_4100,1,-1,2342555
MSME_10071,Rapid Textiles,36CJWTO9106X2ZH,NIC_4100,32,-1,2664494
MSME_10072,Urban Enterprises,24LNMEM9566Q8Z1,NIC_5229,35,622,911505
MSME_10073,Skyline Retail,16WSYXZ3429Z4ZC,NIC_1079,2,703,2523247
MSME_10074,Om Logistics,12OPQQT5063D3ZS,NIC_1079,5,662,201376
MSME_10075,Prime Enterprises,10SPGLE9434A7ZY,NIC_2220,31,782,2965456
MSME_10076,Om Logistics,24TGFQB1812U5ZY,NIC_2220,54,795,2791065
MSME_10077,Lakshmi Packaging,28YDRZY8001G3ZV,NIC_4711,4,-1,2092379
MSME_10078,Shree Textiles,27APVOL5550Z3ZA,NIC_5229,29,568,1091789
MSME_10079,Sai Logistics,16KZTUU5999Z4ZM,NIC_1311,45,612,2687305
MSME_10080,Prime Foods,20CHEPL1093E2Z5,NIC_5229,30,550,787099
MSME_10081,Sai Logistics,18MSULX6899A4ZM,NIC_1079,40,750,505057
MSME_10082,Urban Packaging,35REZOO0334I5ZL,NIC_1311,52,692,1515823
MSME_10083,Global Retail,35RTHQP1143T3ZG,NIC_4711,39,-1,762705
MSME_10084,Rapid Retail,13MQTIJ3838A7ZN,NIC_5229,39,-1,1828658
MSME_10085,Lakshmi Textiles,30MNICD5637J2Z2,NIC_2220,58,-1,2995875
MSME_10086,Global Logistics,20RVGWA7104U6ZW,NIC_1702,44,-1,795213
MSME_10087,Sai Packaging,10JYKFO7756O3ZM,NIC_2220,46,566,1149969
MSME_10088,Global Textiles,27AQAKL2272I8ZW,NIC_1702,3,618,461103
MSME_10089,Prime Logistics,13GNHIK9567O5ZK,NIC_2220,44,713,1760746
MSME_10090,Rapid Logistics,22XTJSM8582T8ZR,NIC_4711,28,570,1138156
MSME_10091,Prime Textiles,11HAEUW1426Q4ZS,NIC_1311,15,583,1395259
MSME_10092,Rapid Packaging,26VUMEA5127D1Z7,NIC_1702,52,678,2399944
MSME_10093,Skyline Traders,31HGQQN7003W1ZO,NIC_4100,32,683,1736281
MSME_10094,Om Logistics,28CNLWO5308T1ZK,NIC_5229,23,-1,945144
MSME_10095,Rapid Enterprises,26EBHXI5406D7Z4,NIC_1702,59,761,166590
MSME_10096,Urban Enterprises,36IDNSH6437V1ZJ,NIC_2220,35,-1,2728124
MSME_10097,Green Retail,15MVCYM3594F4ZX,NIC_1311,50,627,1087446
MSME_10098,Green Industries,16OOEAF5590R2ZX,NIC_4711,39,589,2195930
MSME_10099,Green Textiles,33LVIYV6871E1Z0,NIC_1311,29,-1,1515723
MSME_10100,Rapid Traders,10WERPJ3359I7Z4,NIC_4711,53,605,1059787
MSME_10101,Rapid Retail,23SRSLF6159N3ZP,NIC_1079,7,-1,2693823
MSME_10102,Global Industries,31AFZDM5283H8ZF,NIC_5229,9,634,474669
MSME_10103,Prime Traders,17TRMLB3291Y1ZR,NIC_4711,8,569,1266408
MSME_10104,Green Logistics,25SBSFJ3735O6ZU,NIC_4100,36,-1,853203
MSME_10105,Rapid Foods,33WRRPW2739B3ZE,NIC_1702,22,781,1282594
MSME_10106,Prime Foods,20ULLWV8494W5ZY,NIC_1311,37,782,2768856
MSME_10107,Global Enterprises,24VFIVK3663R8ZQ,NIC_1311,18,782,2536540
MSME_10108,Global Logistics,19UGZXN5615N1Z6,NIC_1079,11,597,817977
MSME_10109,Om Textiles,14FWTVK2215Z7ZB,NIC_4711,58,574,354381
MSME_10110,Global Enterprises,13BJLVK9438N3ZV,NIC_1311,13,-1,1565479
MSME_10111,Green Foods,17ROGDT2608K8ZZ,NIC_2220,32,556,2544778
MSME_10112,Global Traders,26ZOZOG1876R8Z0,NIC_5229,46,586,2371502
MSME_10113,Prime Industries,34AMQWN6248F8Z3,NIC_1702,34,613,2849091
MSME_10114,Urban Foods,26QGQZB9552T1ZT,NIC_4690,8,752,1797478
MSME_10115,Shree Textiles,31JKREB2984B1ZY,NIC_1079,56,650,1325638
MSME_10116,Skyline Traders,22CWBET4311K7ZG,NIC_4100,24,-1,2558324
MSME_10117,Prime Retail,26EACSF1413K8Z4,NIC_4690,16,-1,657003
MSME_10118,Sai Foods,31VSOOT2304P4ZI,NIC_4690,40,610,1217637
MSME_10119,Prime Retail,11USWVA3577U1ZE,NIC_1311,38,600,1815827
MSME_10120,Lakshmi Textiles,22OCQEV5373J5ZL,NIC_4100,32,706,1511596
MSME_10121,Global Retail,30HKOCO4693Z3ZX,NIC_1702,21,576,2671180
MSME_10122,Lakshmi Packaging,15CNJSA8590E7Z4,NIC_4690,51,679,1365316
MSME_10123,Urban Industries,36ZXUIQ3554L4Z4,NIC_4100,42,-1,587393
MSME_10124,Rapid Traders,23ONYEH4399R8ZU,NIC_1311,35,-1,1152042
MSME_10125,Shree Foods,36OPRZN6568R4ZT,NIC_4100,46,680,124843
MSME_10126,Sai Industries,32UVLMI2288F1Z2,NIC_4690,16,772,2714938
MSME_10127,Green Traders,36ALJLP9637T6Z5,NIC_4100,10,771,1425742
MSME_10128,Skyline Enterprises,36XKGWE9288D5ZM,NIC_4711,21,713,1112277
MSME_10129,Global Retail,21UVGPG0412G3ZY,NIC_1702,4,-1,1522067
MSME_10130,Skyline Enterprises,28VHZUL5198P8ZW,NIC_4100,51,-1,1420480
MSME_10131,Rapid Retail,18SWZYP5646S4ZY,NIC_2220,42,745,2714378
MSME_10132,Shree Enterprises,22VFOAW2947B8ZS,NIC_1702,47,-1,1046543
MSME_10133,Sai Retail,13BJFRC2702Y3ZU,NIC_5229,30,-1,554767
MSME_10134,Lakshmi Enterprises,10ILPDS4488U4ZG,NIC_4690,47,-1,2528292
MSME_10135,Prime Traders,29KIXBE8553B7ZF,NIC_1702,1,743,2653716
MSME_10136,Shree Packaging,27MIVPV9511T5ZG,NIC_4100,38,-1,2191632
MSME_10137,Om Traders,15PSZTD8256X2ZJ,NIC_1702,22,-1,2525450
MSME_10138,Global Textiles,25FEGTK5348N2ZV,NIC_2220,5,-1,519068
MSME_10139,Om Industries,27RMVKW8253J7ZC,NIC_1702,24,586,2786663
MSME_10140,Skyline Textiles,29EBTZJ2285Q4ZV,NIC_1702,12,-1,1379094
MSME_10141,Global Logistics,19ZEIXL3064C4Z3,NIC_2220,44,-1,1687060
MSME_10142,Urban Industries,11GYPXC3704T1ZI,NIC_1079,49,-1,2300682
MSME_10143,Sai Packaging,31RUKGI9235N8ZY,NIC_5229,32,-1,1323948
MSME_10144,Sai Industries,33WXHLL4553M8ZN,NIC_4711,9,699,2889133
MSME_10145,Skyline Packaging,21XJGSX5239K4ZR,NIC_4690,30,-1,212558
MSME_10146,Shree Textiles,14VYXFP6335E7ZK,NIC_4100,31,555,639091
MSME_10147,Lakshmi Logistics,16GTDUI9519W3ZJ,NIC_4711,40,665,1537739
MSME_10148,Prime Enterprises,23YHXGS6224P8ZI,NIC_1702,19,685,1979628
MSME_10149,Green Foods,10FMUHS6803T7Z0,NIC_1311,53,775,1090880
MSME_10150,Skyline Industries,19APUAG5395Z7ZH,NIC_1311,32,584,2042020
MSME_10151,Sai Packaging,21VGUJK5195X3Z3,NIC_4100,33,745,317373
MSME_10152,Lakshmi Foods,29VCQXY8720C8Z6,NIC_5229,31,-1,1411600
MSME_10153,Shree Traders,18FVSYF2740N8ZD,NIC_4711,59,771,934944
MSME_10154,Lakshmi Traders,32IDWDH6567P6Z6,NIC_1079,6,-1,801663
MSME_10155,Lakshmi Foods,13LOECF3255Z1ZG,NIC_1079,9,-1,2631496
MSME_10156,Lakshmi Traders,24OVIDK7387U4ZW,NIC_4711,25,651,2976770
MSME_10157,Rapid Packaging,16CUCDT2070Q2ZN,NIC_4690,9,780,541620
MSME_10158,Urban Foods,16UVWAP2426R1ZI,NIC_1311,50,726,2391287
MSME_10159,Om Industries,24VWXOI3638H3ZG,NIC_4690,7,-1,1816046
MSME_10160,Sai Traders,12IRLDU9935F6ZC,NIC_4711,2,639,2398005
MSME_10161,Skyline Retail,12GNOXG1339K2ZC,NIC_1702,33,783,2910774
MSME_10162,Shree Industries,12INZKM1896Y1ZO,NIC_1311,54,664,2181709
MSME_10163,Rapid Industries,29HKGAU2397C7ZJ,NIC_4100,31,-1,1638164
MSME_10164,Rapid Traders,15YYSWG5607G3Z2,NIC_1079,58,-1,1139054
MSME_10165,Prime Textiles,24KTUMZ4747Y8ZB,NIC_4690,58,797,1376131
MSME_10166,Prime Industries,23JNWPJ7748F2Z7,NIC_2220,1,-1,169129
MSME_10167,Lakshmi Foods,19TABMJ3848E1Z0,NIC_1311,40,603,530931
MSME_10168,Urban Retail,21YMLOE6758E3Z0,NIC_1079,10,698,1963214
MSME_10169,Shree Logistics,20RVIVL2285I4ZV,NIC_1311,4,693,1576129
MSME_10170,Skyline Traders,10YJTAM7698B1ZZ,NIC_4711,21,-1,177938
MSME_10171,Lakshmi Foods,29DBPLX7217L3ZT,NIC_4100,53,-1,2393939
MSME_10172,Om Foods,36LJLPH7625V7ZT,NIC_1079,24,-1,2907061
MSME_10173,Global Foods,27MVTTI1639X7Z9,NIC_2220,14,-1,385792
MSME_10174,Urban Traders,28UXMMP1758V4Z7,NIC_2220,40,637,1012166
MSME_10175,Green Industries,13ZFKTU3441N4ZD,NIC_4690,37,628,1942058
MSME_10176,Global Textiles,16LNOJM4662Z6ZG,NIC_2220,12,680,1235260
MSME_10177,Prime Logistics,24IUNCY8522M6ZO,NIC_4100,35,-1,1695079
MSME_10178,Shree Enterprises,22VAKZK5558U1ZE,NIC_5229,50,791,617544
MSME_10179,Lakshmi Logistics,15AVJWN0796C2ZB,NIC_4711,47,707,2772993
MSME_10180,Global Packaging,18UMEFH9238E3ZQ,NIC_1311,36,627,2414706
MSME_10181,Global Traders,11HNOWL3340T3ZU,NIC_1079,52,700,2076684
MSME_10182,Shree Industries,33DEGWG1053X2ZI,NIC_4690,16,-1,1140502
MSME_10183,Om Traders,33MALPI3436V7ZZ,NIC_4690,45,758,2779256
MSME_10184,Skyline Textiles,20SLAHO2780Q3ZK,NIC_4711,23,797,1213529
MSME_10185,Global Retail,21KAEIY4960I1ZG,NIC_4100,59,749,1136093
MSME_10186,Prime Logistics,14FWUEC7067W5ZD,NIC_4711,14,-1,411539
MSME_10187,Global Enterprises,27RRNAJ6014T5ZU,NIC_4100,38,-1,1883851
MSME_10188,Shree Industries,17JOWOG9498D1ZC,NIC_4690,22,560,1620191
MSME_10189,Green Textiles,32YZERU1316C7ZG,NIC_1311,36,601,2490476
MSME_10190,Shree Traders,34JSIJT2897N8ZC,NIC_1079,19,-1,2264831
MSME_10191,Lakshmi Traders,22ALLQV9311O5ZU,NIC_4690,7,596,2530958
MSME_10192,Global Industries,24RMJFE2838U7Z3,NIC_2220,12,571,827037
MSME_10193,Urban Enterprises,23IJUJZ9532C4ZJ,NIC_2220,22,-1,276602
MSME_10194,Shree Textiles,22OWNGC3500T7ZO,NIC_4711,5,622,814590
MSME_10195,Shree Industries,32FQMCB2205X7ZJ,NIC_1079,59,-1,1870608
MSME_10196,Global Retail,17WGMQT4905K2ZO,NIC_2220,11,716,584866
MSME_10197,Green Foods,29RQHDY2120Q2Z3,NIC_1311,34,572,791908
MSME_10198,Rapid Traders,34CORBC5116C4ZH,NIC_1079,32,763,1102637
MSME_10199,Sai Foods,18XXJVG5451T7ZG,NIC_2220,49,650,2337173
MSME_10200,Om Industries,20YQGED6340Y3ZH,NIC_5229,41,687,633776
MSME_10201,Global Foods,10AYMRJ4974H4Z4,NIC_4690,33,-1,2210539
MSME_10202,Om Foods,14OZMBS3716V4Z9,NIC_4100,35,686,2156429
MSME_10203,Sai Packaging,22IOMLV3563Z5Z8,NIC_1079,47,602,786486
MSME_10204,Shree Retail,13PZYTI7936Z8ZV,NIC_5229,11,752,2603361
MSME_10205,Rapid Industries,36OSKCQ6815X4ZH,NIC_2220,4,631,945575
MSME_10206,Prime Retail,30ACWCX2323M5ZZ,NIC_4711,29,673,2223529
MSME_10207,Urban Foods,14QUHWX8661Y6ZB,NIC_1311,12,-1,1311424
MSME_10208,Global Foods,35EQDRH5387G8ZD,NIC_1702,3,574,2377637
MSME_10209,Green Enterprises,17AXPKX9836W5ZM,NIC_4711,27,790,2242141
MSME_10210,Lakshmi Industries,17NGBLT1566Z5ZR,NIC_4690,54,575,2220847
MSME_10211,Skyline Traders,35UZIZB5261Y6Z0,NIC_2220,55,691,819584
MSME_10212,Prime Foods,11UILIH1609D8ZR,NIC_4711,16,755,969693
MSME_10213,Rapid Logistics,26BEZOA3367K8ZQ,NIC_1311,13,663,2138724
MSME_10214,Om Logistics,33NTFQH5553P6ZS,NIC_1702,28,717,1026790
MSME_10215,Sai Retail,26JCYXI4205Q8ZU,NIC_5229,41,615,1464658
MSME_10216,Sai Retail,22ZSLWJ9051P7ZK,NIC_4711,12,699,2459115
MSME_10217,Global Industries,18OFMOS9440T3ZC,NIC_1079,29,799,1875769
MSME_10218,Om Foods,27XWHII1127Q5ZA,NIC_5229,36,-1,2847955
MSME_10219,Rapid Industries,12OABEM4621A3ZK,NIC_4711,28,564,622971
MSME_10220,Sai Textiles,13NJTCI0352N1ZZ,NIC_2220,12,622,1013250
MSME_10221,Global Enterprises,32SLVKW4795X7ZQ,NIC_5229,13,-1,2540569
MSME_10222,Shree Logistics,33RUOFX1117B8ZH,NIC_1702,16,-1,2616283
MSME_10223,Lakshmi Logistics,31RJAYD5456V3ZF,NIC_4100,3,703,1590007
MSME_10224,Urban Foods,14TUBBK2342L1ZU,NIC_5229,50,746,934766
MSME_10225,Lakshmi Retail,35PPPUH7628T7ZN,NIC_5229,59,-1,1502978
MSME_10226,Green Retail,31IJVTN1477S8Z5,NIC_5229,37,747,1237822
MSME_10227,Shree Logistics,12IIZSC4046L7ZO,NIC_5229,42,783,2959942
MSME_10228,Green Enterprises,29KSPUM2810L3ZK,NIC_1311,44,783,279431
MSME_10229,Rapid Enterprises,21HYHTW1197T1ZX,NIC_5229,41,567,1729907
MSME_10230,Green Retail,15MEZRQ8485V6Z8,NIC_4690,55,-1,2594279
MSME_10231,Rapid Logistics,12FDTWV9199J2ZN,NIC_1079,16,-1,1083678
MSME_10232,Prime Industries,16MZILN3214O2ZO,NIC_1311,34,552,680977
MSME_10233,Om Logistics,23NFRIC9715B8ZG,NIC_1702,10,747,2015643
MSME_10234,Lakshmi Traders,18DMMNM7778U4Z4,NIC_5229,29,652,451489
MSME_10235,Om Textiles,27JQNCW9918S1Z1,NIC_4711,4,785,833797
MSME_10236,Rapid Logistics,28CKHKL5373D2ZZ,NIC_4100,24,772,1588723
MSME_10237,Shree Industries,22GERCE9653J7ZD,NIC_1311,23,-1,2204657
MSME_10238,Rapid Traders,12ZQHQS8178L5Z3,NIC_4711,26,586,1072732
MSME_10239,Om Packaging,31VBPBA9062C8ZK,NIC_1311,30,-1,2645711
MSME_10240,Rapid Packaging,30PKSKK3609J5Z7,NIC_4100,15,620,2168830
MSME_10241,Shree Industries,13FEUCN8793Q8ZV,NIC_1702,31,-1,381777
MSME_10242,Rapid Packaging,14ZDHBC1615K2ZT,NIC_4711,17,557,1390468
MSME_10243,Lakshmi Enterprises,22YEVFR2989N1ZY,NIC_1079,42,728,1053180
MSME_10244,Rapid Enterprises,12RNECU0911Y8ZD,NIC_1079,38,680,2008978
MSME_10245,Urban Packaging,26AJLJO9661W3ZP,NIC_1311,10,625,1752521
MSME_10246,Sai Packaging,13ESTUO1280M8ZI,NIC_4711,19,765,2827531
MSME_10247,Urban Traders,22NAVNY0785B6ZK,NIC_1079,40,752,2269501
MSME_10248,Rapid Foods,11NGGCV9898G4ZA,NIC_4100,37,683,911743
MSME_10249,Lakshmi Industries,11AOSLY5022T2ZC,NIC_2220,53,575,240862
MSME_10250,Shree Foods,34BDKIL0182A5Z8,NIC_4711,38,-1,1109095
MSME_10251,Rapid Traders,21PUNOS2386P8ZO,NIC_4690,50,-1,2807118
MSME_10252,Lakshmi Industries,11FOEGQ7919L5ZL,NIC_1079,15,577,322861
MSME_10253,Green Retail,14FNITL9068E8Z9,NIC_4711,44,568,1177114
MSME_10254,Urban Packaging,23LOMSV4594E6ZC,NIC_1702,24,780,1313794
MSME_10255,Green Logistics,13GHWXG2869E2ZD,NIC_2220,3,-1,977089
MSME_10256,Prime Foods,17OJTLL9717Z1ZD,NIC_1311,5,553,2979394
MSME_10257,Skyline Industries,24HYVLQ3522F6ZX,NIC_5229,54,-1,1567238
MSME_10258,Lakshmi Industries,25LNVFV2820A5Z4,NIC_2220,18,554,1741314
MSME_10259,Prime Foods,16PEQMX6427M7ZZ,NIC_4711,25,568,1724151
MSME_10260,Rapid Logistics,16CAJJF6798Z3Z8,NIC_4100,46,-1,1284323
MSME_10261,Urban Retail,25GZGUD3893C6Z8,NIC_4100,52,648,1694443
MSME_10262,Global Enterprises,18ETHBG0231T8ZN,NIC_4690,23,707,1915601
MSME_10263,Prime Packaging,24YLNTO8384O1ZN,NIC_1702,23,641,2058918
MSME_10264,Om Industries,31IEDGP5845E5Z9,NIC_4711,57,712,950295
MSME_10265,Skyline Industries,15XBCQV5170I8Z2,NIC_5229,59,565,2307425
MSME_10266,Sai Packaging,19PSRRM1568J6ZM,NIC_1311,2,-1,291359
MSME_10267,Skyline Textiles,32GJOVA5788O4ZE,NIC_4711,15,-1,824552
MSME_10268,Om Enterprises,35FJCLX3812Z6Z1,NIC_4711,47,731,2903501
MSME_10269,Prime Traders,21YTJXW5281P6ZI,NIC_4711,31,792,2157801
MSME_10270,Green Foods,35ROIQJ0289U7ZC,NIC_1702,40,649,1999528
MSME_10271,Lakshmi Enterprises,25MIHFM2064B6ZY,NIC_5229,2,787,114454
MSME_10272,Prime Traders,34DBAOA8381U8ZN,NIC_4711,35,721,2923713
MSME_10273,Sai Retail,22PLFYR6117S5Z9,NIC_1311,3,-1,397067
MSME_10274,Sai Industries,13KCUFX3861I7ZG,NIC_2220,54,-1,1384480
MSME_10275,Om Textiles,34ONBQJ9611R7Z9,NIC_1702,35,620,953873
MSME_10276,Global Packaging,18HEOUU4210Q1ZS,NIC_2220,56,673,1370065
MSME_10277,Lakshmi Retail,13CHKYX8294C3ZG,NIC_1079,5,-1,2036115
MSME_10278,Om Packaging,10OLPFR7962S8Z9,NIC_2220,15,-1,1192801
MSME_10279,Om Packaging,12OCBJQ6825S4ZD,NIC_2220,26,-1,2804671
MSME_10280,Global Retail,14PFAOC9315S6ZH,NIC_4690,9,670,342328
MSME_10281,Skyline Enterprises,26QJZGB6555I5ZF,NIC_5229,46,684,2400815
MSME_10282,Om Industries,28XANKZ5169J3ZV,NIC_1079,22,-1,2207999
MSME_10283,Shree Enterprises,27INPKS6955P2ZR,NIC_4690,51,626,2533403
MSME_10284,Sai Traders,34OUOMX3821L7ZU,NIC_4100,6,-1,2819648
MSME_10285,Prime Logistics,15KIRFH3278F3ZT,NIC_4711,8,740,1489855
MSME_10286,Lakshmi Retail,34XIPIY4046E2Z1,NIC_1079,7,650,1759006
MSME_10287,Green Foods,35PNFGF1483O4ZT,NIC_1311,5,755,2371413
MSME_10288,Skyline Retail,34ORDRK7910W6ZB,NIC_4711,15,658,2852912
MSME_10289,Green Packaging,11IDZMD6553R5ZL,NIC_5229,39,-1,186807
MSME_10290,Lakshmi Textiles,10DZGXB7645H1Z9,NIC_2220,10,796,1722531
MSME_10291,Om Retail,30RBMCU6691N7ZY,NIC_1311,37,601,2785772
MSME_10292,Shree Retail,10GSMTD5929Y5Z8,NIC_5229,35,594,720309
MSME_10293,Prime Retail,20TFVWA6586V8ZP,NIC_4711,27,-1,473666
MSME_10294,Lakshmi Traders,11YTMSG9162R2ZS,NIC_1311,31,734,913523
MSME_10295,Shree Enterprises,36UOLCZ5583Z8ZC,NIC_4690,37,631,781861
MSME_10296,Rapid Packaging,32GXLGX3223L8Z7,NIC_1079,43,-1,1100187
MSME_10297,Green Packaging,30BTTEY0074C2ZQ,NIC_1311,50,-1,2402809
MSME_10298,Rapid Enterprises,30CAGFZ5880X5Z6,NIC_4690,39,702,2554116
MSME_10299,Shree Foods,15IKAJC6218Y1Z6,NIC_1702,42,-1,1337663
MSME_10300,Sai Textiles,32QSOQP4680S7ZZ,NIC_2220,9,608,2334805
MSME_10301,Green Retail,12IUXDT3751N2Z0,NIC_4711,2,-1,2703538
MSME_10302,Global Enterprises,11CHBWM1881K8ZP,NIC_1702,34,789,2695360
MSME_10303,Rapid Packaging,29SHGJV4002I7ZT,NIC_5229,55,-1,413078
MSME_10304,Lakshmi Foods,30IQKJJ5180T6ZT,NIC_5229,42,632,2906356
MSME_10305,Rapid Textiles,14IJPQS1131O6Z3,NIC_4690,9,552,2366160
MSME_10306,Sai Packaging,23YZHUU2306V2ZK,NIC_4690,26,619,2734109
MSME_10307,Green Packaging,24VVHTJ7015C7ZD,NIC_4711,31,-1,1806424
MSME_10308,Shree Logistics,36JPXLF5506T6ZO,NIC_1079,10,662,834353
MSME_10309,Prime Retail,22AAIQP1807O5Z7,NIC_2220,39,604,424926
MSME_10310,Lakshmi Textiles,22EEKFV1120G7ZO,NIC_5229,56,-1,932672
MSME_10311,Lakshmi Textiles,24QCYTL6129D8Z5,NIC_1702,39,-1,403679
MSME_10312,Shree Traders,30XEYII2838Q5ZF,NIC_5229,20,-1,366766
MSME_10313,Lakshmi Retail,19YQNAZ1765N7ZK,NIC_2220,44,567,1001455
